endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss,source_section,metric,estimate,ci95_low,ci95_high,bootstrap_replicates,stratification,endpoint_class_balance_note
cross_environment_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,26725,3863,0.0273152478952291,11.72310570626754,81.10276986797825,0.6096538821328344,0.2731150608044901,0.2873326918029918,0.7126673081970082,0.8999862994930813,0.2873326918029918,0.8110276986797825,0.2873326918029918,0.2690540598565846,0.5491801952413872,0.6369691300280637,metrics,,,,,,,
any_meaning_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,26725,10320,0.386155285313377,0.0,0.0,0.0,1.0,1.0,0.0,0.613844714686623,1.0,0.0,1.0,,0.5,0.386155285313377,metrics,,,,,,,
any_meaning_drift,metadata-only,baseline review/status/submitter metadata only,comparator,26725,10320,0.386155285313377,0.0,0.0,0.0,1.0,1.0,0.0,0.613844714686623,1.0,0.0,1.0,,0.5,0.386155285313377,metrics,,,,,,,
any_meaning_drift,gene-only,gene identity only,comparator,26725,10320,0.08,30.6155285313377,79.2829457364341,0.4640598690364827,0.2297848456501403,0.2440109722645534,0.7559890277354465,0.6518482331867774,0.2440109722645534,0.7928294573643411,0.2440109722645534,0.529510742945897,0.5184202148144472,0.5440598690364827,metrics,,,,,,,
any_meaning_drift,regime-only,baseline disease-model regime only,comparator,26725,10320,0.0681010289990645,31.805425631431245,82.36434108527132,0.470533208606174,0.2114125350795135,0.2334654068881438,0.7665345931118561,0.6778761061946903,0.2334654068881438,0.8236434108527132,0.2334654068881438,0.5414874980092371,0.5285544088704285,0.5386342376052385,metrics,,,,,,,
any_meaning_drift,portability-score-only,baseline portability score threshold only,comparator,26725,10320,0.2649953227315247,12.115996258185223,31.375968992248072,0.160823199251637,0.7180168381665107,0.7380067052727827,0.2619932947272173,0.630934389493981,0.7380067052727827,0.3137596899224806,0.7380067052727827,0.362679211469534,0.5258831975976317,0.4258185219831618,metrics,,,,,,,
any_meaning_drift,failure-topology-only,baseline failure/regime topology only,comparator,26725,10320,0.0681010289990645,31.805425631431245,82.36434108527132,0.470533208606174,0.2114125350795135,0.2334654068881438,0.7665345931118561,0.6778761061946903,0.2334654068881438,0.8236434108527132,0.2334654068881438,0.5414874980092371,0.5285544088704285,0.5386342376052385,metrics,,,,,,,
any_meaning_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,26725,10320,0.0257062675397567,36.04490177736202,93.34302325581396,0.5586529466791393,0.0808980355472404,0.0899116123133191,0.9100883876866808,0.6822386679000925,0.0899116123133191,0.9334302325581396,0.0899116123133191,0.5523034142705616,0.5116709224357293,0.5843592142188961,metrics,,,,,,,
any_meaning_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,26725,10320,0.0861365762394761,30.00187090739009,77.6937984496124,0.4268662301216089,0.2731150608044901,0.304602255409936,0.695397744590064,0.684614330730237,0.304602255409936,0.7769379844961241,0.304602255409936,0.5390976938075708,0.54077011995303,0.5130028063610851,metrics,,,,,,,
semantic_drift_without_reclassification,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,26725,9868,0.3692422825070159,0.0,0.0,0.0,1.0,1.0,0.0,0.6307577174929841,1.0,0.0,1.0,,0.5,0.3692422825070159,metrics,,,,,,,
