endpoint,model,budget,AUPRC,precision_at_budget,recall_at_budget,lift_at_budget,number_needed_to_review,net_prevented_unsupported_reuses_per_100_reviewed
E2_normalized_condition_label_drift,regime-only,0.2,0.287401899786103,0.33395696913002804,0.3083434099153567,1.5417170495767836,2.994397759103642,33.3956969130028
E2_normalized_condition_label_drift,regime-only,0.3,0.287401899786103,0.32427039161885757,0.449127655899119,1.496998828124714,3.083846153846154,32.42703916188576
E2_normalized_condition_label_drift,gene+regime,0.01,0.5293425122890488,0.8544776119402985,0.03955778200034548,3.9447079252210187,1.1703056768558953,85.44776119402985
E2_normalized_condition_label_drift,gene+regime,0.05,0.5293425122890488,0.724756918474196,0.16738642252547936,3.345850517571755,1.3797729618163055,72.4756918474196
E2_normalized_condition_label_drift,gene+regime,0.1,0.5293425122890488,0.6236438458660681,0.2879599239937813,2.879060594363564,1.603479304139172,62.36438458660681
E2_normalized_condition_label_drift,gene+regime,0.2,0.5293425122890488,0.5240411599625818,0.4838486785282432,2.4192433926412162,1.908247054623349,52.404115996258184
E2_normalized_condition_label_drift,gene+regime,0.3,0.5293425122890488,0.4590920429034672,0.6358611159094835,2.119404879356566,2.1782124422711218,45.90920429034672
E2_normalized_condition_label_drift,gene+baseline-ontology+CAB,0.01,0.6250123784939793,0.9291044776119403,0.0430126101226464,4.289223901222854,1.0763052208835342,92.91044776119402
E2_normalized_condition_label_drift,gene+baseline-ontology+CAB,0.05,0.6250123784939793,0.8578908002991773,0.1981343928139575,3.960464957332098,1.16564952048823,85.78908002991773
E2_normalized_condition_label_drift,gene+baseline-ontology+CAB,0.1,0.6250123784939793,0.7497194163860831,0.3461737778545517,3.4610902406146264,1.3338323353293413,74.97194163860831
E2_normalized_condition_label_drift,gene+baseline-ontology+CAB,0.2,0.6250123784939793,0.5794200187090739,0.5349801347382968,2.674900673691484,1.7258637391023572,57.94200187090739
E2_normalized_condition_label_drift,gene+baseline-ontology+CAB,0.3,0.6250123784939793,0.4906460463956099,0.6795646916565901,2.2650743807087017,2.038129130655821,49.06460463956099
E2_normalized_condition_label_drift,full baseline no follow-up ontology,0.01,0.62524014875953,0.9291044776119403,0.0430126101226464,4.289223901222854,1.0763052208835342,92.91044776119402
E2_normalized_condition_label_drift,full baseline no follow-up ontology,0.05,0.62524014875953,0.8631264023934181,0.19934358265676283,3.98463518810919,1.158578856152513,86.3126402393418
E2_normalized_condition_label_drift,full baseline no follow-up ontology,0.1,0.62524014875953,0.7489711934156379,0.34582829504232165,3.4576360587377653,1.335164835164835,74.8971193415638
E2_normalized_condition_label_drift,full baseline no follow-up ontology,0.2,0.62524014875953,0.5801683816651075,0.535671100362757,2.6783555018137846,1.7236375362786198,58.01683816651075
E2_normalized_condition_label_drift,full baseline no follow-up ontology,0.3,0.62524014875953,0.4908954851583936,0.6799101744688202,2.266225918268798,2.0370934959349594,49.08954851583936
E3_cross_environment_drift,gene-only,0.01,0.3613141826408856,0.4552238805970149,0.030431529059615863,3.034636619844157,2.19672131147541,45.52238805970149
E3_cross_environment_drift,gene-only,0.05,0.3613141826408856,0.4442782348541511,0.14816662509353953,2.961670198672284,2.250841750841751,44.42782348541511
E3_cross_environment_drift,gene-only,0.1,0.3613141826408856,0.4481855592966704,0.29882763781491645,2.9877174038921224,2.231218697829716,44.81855592966704
E3_cross_environment_drift,gene-only,0.2,0.3613141826408856,0.3938260056127222,0.5250685956597655,2.625342978298828,2.539192399049881,39.38260056127222
E3_cross_environment_drift,gene-only,0.3,0.3613141826408856,0.32776253429782987,0.6555250685956597,2.1849473008504625,3.0509893455098935,32.77625342978298
E3_cross_environment_drift,regime-only,0.01,0.1771277248598819,0.24253731343283583,0.01621351958094288,1.6168145925399195,4.123076923076923,24.253731343283583
E3_cross_environment_drift,regime-only,0.05,0.1771277248598819,0.18773373223635004,0.06260912945871788,1.2514801681258307,5.326693227091633,18.773373223635005
E3_cross_environment_drift,regime-only,0.1,0.1771277248598819,0.1937897493453049,0.12920927912197555,1.2918510978431714,5.16023166023166,19.37897493453049
E3_cross_environment_drift,regime-only,0.2,0.1771277248598819,0.1949485500467727,0.2599151908206535,1.2995759541032679,5.129558541266794,19.49485500467727
E3_cross_environment_drift,regime-only,0.3,0.1771277248598819,0.19281616363182838,0.38563232726365676,1.285360931170021,5.186287192755498,19.281616363182838
E3_cross_environment_drift,gene+regime,0.01,0.41324172349150035,0.6753731343283582,0.04514841606385633,4.502206788457315,1.4806629834254144,67.53731343283582
E3_cross_environment_drift,gene+regime,0.05,0.41324172349150035,0.5661929693343306,0.1888251434272886,3.774384411439258,1.7661822985468956,56.61929693343306
E3_cross_environment_drift,gene+regime,0.1,0.41324172349150035,0.4784885895997007,0.3190321776003991,3.189725007995012,2.089913995308835,47.84885895997007
E3_cross_environment_drift,gene+regime,0.2,0.41324172349150035,0.4114125350795136,0.5485158393614368,2.742579196807184,2.430650295588904,41.14125350795136
E3_cross_environment_drift,gene+regime,0.3,0.41324172349150035,0.33175355450236965,0.6635071090047393,2.2115524430221574,3.0142857142857142,33.175355450236964
E3_cross_environment_drift,gene+baseline-ontology+CAB,0.01,0.5784967817995416,0.8768656716417911,0.0586181092541781,5.845406603798171,1.1404255319148935,87.68656716417911
E3_cross_environment_drift,gene+baseline-ontology+CAB,0.05,0.5784967817995416,0.8115183246073299,0.27064105762035423,5.409784790504089,1.232258064516129,81.15183246073299
E3_cross_environment_drift,gene+baseline-ontology+CAB,0.1,0.5784967817995416,0.6015712682379349,0.4010975305562484,4.010225029598107,1.662313432835821,60.1571268237935
E3_cross_environment_drift,gene+baseline-ontology+CAB,0.2,0.5784967817995416,0.46978484565014034,0.6263407333499625,3.131703666749813,2.1286340103544403,46.978484565014035
E3_cross_environment_drift,gene+baseline-ontology+CAB,0.3,0.5784967817995416,0.40222000498877525,0.8044400099775505,2.6812994844911495,2.486201550387597,40.22200049887753
E3_cross_environment_drift,full baseline no follow-up ontology,0.01,0.58613525840441,0.8992537313432836,0.060114741830880516,5.994651027724933,1.112033195020747,89.92537313432835
E3_cross_environment_drift,full baseline no follow-up ontology,0.05,0.58613525840441,0.8025430067314884,0.26764779246694936,5.34995306931879,1.2460391425908668,80.25430067314883
E3_cross_environment_drift,full baseline no follow-up ontology,0.1,0.58613525840441,0.6127946127946128,0.40858069343976056,4.085042660747326,1.6318681318681318,61.27946127946128
E3_cross_environment_drift,full baseline no follow-up ontology,0.2,0.58613525840441,0.47015902712815716,0.6268396108755301,3.1341980543776504,2.126939912455233,47.015902712815716
E3_cross_environment_drift,full baseline no follow-up ontology,0.3,0.58613525840441,0.4023447243701671,0.8046894487403342,2.6821308951840153,2.4854308741475513,40.23447243701671
E4_proxy_adjudicated_true_shift,gene-only,0.01,0.35773997808863084,0.3880597014925373,0.025980514614039472,2.5907807950007644,2.5769230769230766,38.80597014925373
E4_proxy_adjudicated_true_shift,gene-only,0.05,0.35773997808863084,0.4330590875093493,0.14464151886085436,2.891207622704811,2.309153713298791,43.30590875093493
E4_proxy_adjudicated_true_shift,gene-only,0.1,0.35773997808863084,0.448559670781893,0.2995253559830127,2.994693280451184,2.2293577981651373,44.8559670781893
E4_proxy_adjudicated_true_shift,gene-only,0.2,0.35773997808863084,0.3971936389148737,0.5303522358231326,2.651761179115663,2.5176636834667923,39.71936389148737
E4_proxy_adjudicated_true_shift,gene-only,0.3,0.35773997808863084,0.3283861312047892,0.6577566824881339,2.1923855499495355,3.0451955943790354,32.83861312047892
E4_proxy_adjudicated_true_shift,regime-only,0.01,0.1766309772391651,0.19776119402985073,0.013240069947539346,1.3203017512984663,5.056603773584906,19.776119402985074
E4_proxy_adjudicated_true_shift,regime-only,0.05,0.1766309772391651,0.18399401645474944,0.06145390956782413,1.2283887308901271,5.434959349593496,18.399401645474946
E4_proxy_adjudicated_true_shift,regime-only,0.1,0.1766309772391651,0.19229330340441453,0.1284036972270797,1.2837967857814083,5.200389105058365,19.229330340441454
E4_proxy_adjudicated_true_shift,regime-only,0.2,0.1766309772391651,0.19532273152478952,0.26080439670247313,1.3040219835123656,5.119731800766283,19.53227315247895
E4_proxy_adjudicated_true_shift,regime-only,0.3,0.1766309772391651,0.19194312796208532,0.3844616537596802,1.2814589294995578,5.209876543209877,19.194312796208532
E4_proxy_adjudicated_true_shift,gene+regime,0.01,0.4122006686972699,0.6940298507462687,0.046465151136647516,4.633511806443674,1.4408602150537635,69.40298507462687
E4_proxy_adjudicated_true_shift,gene+regime,0.05,0.4122006686972699,0.5691847419596111,0.19010741943542342,3.8000155455584825,1.7568988173455977,56.91847419596111
E4_proxy_adjudicated_true_shift,gene+regime,0.1,0.4122006686972699,0.4781144781144781,0.31926055458406194,3.192008350639377,2.091549295774648,47.81144781144781
E4_proxy_adjudicated_true_shift,gene+regime,0.2,0.4122006686972699,0.4108512628624883,0.5485885585810643,2.7429427929053207,2.4339708561020035,41.08512628624883
E4_proxy_adjudicated_true_shift,gene+regime,0.3,0.4122006686972699,0.3283861312047892,0.6577566824881339,2.1923855499495355,3.0451955943790354,32.83861312047892
E4_proxy_adjudicated_true_shift,gene+baseline-ontology+CAB,0.01,0.5779087972341955,0.8805970149253731,0.05895578316262803,5.879079496347888,1.1355932203389831,88.05970149253731
E4_proxy_adjudicated_true_shift,gene+baseline-ontology+CAB,0.05,0.5779087972341955,0.8100224382946896,0.27054708968273794,5.407906485991901,1.234533702677747,81.00224382946895
E4_proxy_adjudicated_true_shift,gene+baseline-ontology+CAB,0.1,0.5779087972341955,0.6105499438832772,0.407694229328004,4.076179677811787,1.6378676470588236,61.05499438832772
E4_proxy_adjudicated_true_shift,gene+baseline-ontology+CAB,0.2,0.5779087972341955,0.46828811973807294,0.6252810392205845,3.1264051961029224,2.1354374750299643,46.82881197380729
E4_proxy_adjudicated_true_shift,gene+baseline-ontology+CAB,0.3,0.5779087972341955,0.4003492142678972,0.801898576067949,2.672828566402586,2.4978193146417444,40.03492142678972
E4_proxy_adjudicated_true_shift,full baseline no follow-up ontology,0.01,0.5847679122481683,0.8955223880597015,0.05995503372470647,5.978724911540225,1.1166666666666667,89.55223880597015
E4_proxy_adjudicated_true_shift,full baseline no follow-up ontology,0.05,0.5847679122481683,0.7988032909498878,0.2667999000749438,5.333004734108356,1.25187265917603,79.88032909498878
E4_proxy_adjudicated_true_shift,full baseline no follow-up ontology,0.1,0.5847679122481683,0.607931163486719,0.40594554084436674,4.058696063997643,1.644923076923077,60.7931163486719
E4_proxy_adjudicated_true_shift,full baseline no follow-up ontology,0.2,0.5847679122481683,0.46828811973807294,0.6252810392205845,3.1264051961029224,2.1354374750299643,46.82881197380729
E4_proxy_adjudicated_true_shift,full baseline no follow-up ontology,0.3,0.5847679122481683,0.40147168870042405,0.8041468898326255,2.680322478271005,2.4908356632494564,40.14716887004241
