domain,endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss
cardiomyopathy,cross_environment_drift,failure-topology-only,baseline failure/regime topology only,comparator,4918,485,0.0040666937779585,9.45506303375356,95.8762886597938,0.7826352175681172,0.1228141520943472,0.131739228513422,0.868260771486578,0.9668874172185432,0.131739228513422,0.9587628865979382,0.131739228513422,0.1937903729943738,0.5452510575556802,0.7867019113460756
cardiomyopathy,cross_environment_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,4918,485,0.0040666937779585,9.45506303375356,95.8762886597938,0.7826352175681172,0.1228141520943472,0.131739228513422,0.868260771486578,0.9668874172185432,0.131739228513422,0.9587628865979382,0.131739228513422,0.1937903729943738,0.5452510575556802,0.7867019113460756
cardiomyopathy,cross_environment_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,4918,485,0.0040666937779585,9.45506303375356,95.8762886597938,0.7826352175681172,0.1228141520943472,0.131739228513422,0.868260771486578,0.9668874172185432,0.131739228513422,0.9587628865979382,0.131739228513422,0.1937903729943738,0.5452510575556802,0.7867019113460756
hereditary_cancer,cross_environment_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,20865,3378,0.1618979151689432,0.0,0.0,0.0,1.0,1.0,0.0,0.8381020848310567,1.0,0.0,1.0,,0.5,0.1618979151689432
hereditary_cancer,cross_environment_drift,metadata-only,baseline review/status/submitter metadata only,comparator,20865,3378,0.1618979151689432,0.0,0.0,0.0,1.0,1.0,0.0,0.8381020848310567,1.0,0.0,1.0,,0.5,0.1618979151689432
hereditary_cancer,cross_environment_drift,gene-only,gene identity only,comparator,20865,3378,0.0054636951833213,15.643421998562184,96.6252220248668,0.7826024442846873,0.0609633357296908,0.0662206210327672,0.9337793789672328,0.910377358490566,0.0662206210327672,0.966252220248668,0.0662206210327672,0.284184406425493,0.5162364206407175,0.7880661394680086
hereditary_cancer,cross_environment_drift,regime-only,baseline disease-model regime only,comparator,20865,3378,0.0127006949436855,14.91972202252576,92.15512137359386,0.6541097531751737,0.1966930265995686,0.2195345113512895,0.7804654886487105,0.9354288499025342,0.2195345113512895,0.9215512137359384,0.2195345113512895,0.3091513977853915,0.570542862543614,0.6668104481188594
hereditary_cancer,cross_environment_drift,portability-score-only,baseline portability score threshold only,comparator,20865,3378,0.0679606997364006,9.393721543254252,58.02249851983422,0.1459381739755571,0.7601246105919003,0.8258706467661692,0.1741293532338308,0.910592686002522,0.8258706467661692,0.5802249851983422,0.8258706467661692,0.4676130263628772,0.7030478159822557,0.2138988737119578
hereditary_cancer,cross_environment_drift,failure-topology-only,baseline failure/regime topology only,comparator,20865,3378,0.0127006949436855,14.91972202252576,92.15512137359386,0.6541097531751737,0.1966930265995686,0.2195345113512895,0.7804654886487105,0.9354288499025342,0.2195345113512895,0.9215512137359384,0.2195345113512895,0.3091513977853915,0.570542862543614,0.6668104481188594
hereditary_cancer,cross_environment_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,20865,3378,0.0011981787682722,16.069973640067097,99.2599171107164,0.7951593577761802,0.0441409058231488,0.0512380625607594,0.9487619374392404,0.9728555917481,0.0512380625607594,0.992599171107164,0.0512380625607594,0.287539662121602,0.5219186168339617,0.7963575365444524
hereditary_cancer,cross_environment_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,20865,3378,0.0340282770189312,12.786963815001195,78.98164594434576,0.5702851665468488,0.3018451953031392,0.3195516669525933,0.6804483330474066,0.8872657986662432,0.3195516669525933,0.7898164594434577,0.3195516669525933,0.297353023126219,0.5546840631980255,0.60431344356578
inherited_arrhythmia,cross_environment_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,942,0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0
inherited_arrhythmia,cross_environment_drift,metadata-only,baseline review/status/submitter metadata only,comparator,942,0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0
inherited_arrhythmia,cross_environment_drift,gene-only,gene identity only,comparator,942,0,0.0,0.0,,0.3237791932059448,0.6762208067940552,0.6762208067940552,0.3237791932059448,1.0,0.6762208067940552,,0.6762208067940552,,0.6762208067940552,0.3237791932059448
inherited_arrhythmia,cross_environment_drift,regime-only,baseline disease-model regime only,comparator,942,0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0
inherited_arrhythmia,cross_environment_drift,portability-score-only,baseline portability score threshold only,comparator,942,0,0.0,0.0,,0.578556263269639,0.4214437367303609,0.4214437367303609,0.578556263269639,1.0,0.4214437367303609,,0.4214437367303609,,0.4214437367303609,0.578556263269639
inherited_arrhythmia,cross_environment_drift,failure-topology-only,baseline failure/regime topology only,comparator,942,0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0
inherited_arrhythmia,cross_environment_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,942,0,0.0,0.0,,0.3237791932059448,0.6762208067940552,0.6762208067940552,0.3237791932059448,1.0,0.6762208067940552,,0.6762208067940552,,0.6762208067940552,0.3237791932059448
inherited_arrhythmia,cross_environment_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,942,0,0.0,0.0,,0.578556263269639,0.4214437367303609,0.4214437367303609,0.578556263269639,1.0,0.4214437367303609,,0.4214437367303609,,0.4214437367303609,0.578556263269639
all_domains,any_meaning_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,26725,10320,0.386155285313377,0.0,0.0,0.0,1.0,1.0,0.0,0.613844714686623,1.0,0.0,1.0,,0.5,0.386155285313377
all_domains,any_meaning_drift,metadata-only,baseline review/status/submitter metadata only,comparator,26725,10320,0.386155285313377,0.0,0.0,0.0,1.0,1.0,0.0,0.613844714686623,1.0,0.0,1.0,,0.5,0.386155285313377
all_domains,any_meaning_drift,gene-only,gene identity only,comparator,26725,10320,0.08,30.6155285313377,79.2829457364341,0.4640598690364827,0.2297848456501403,0.2440109722645534,0.7559890277354465,0.6518482331867774,0.2440109722645534,0.7928294573643411,0.2440109722645534,0.529510742945897,0.5184202148144472,0.5440598690364827
