GeneSymbol,cab_domain_gene_set,clinvar_rows,unique_variation_ids,plp_or_pathogenic_label_rows,unique_condition_labels,top_condition_labels,review_status_top
APC,hereditary_cancer,33865,17000,6825,880,Familial adenomatous polyposis 1 || Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Familial adenomatous polyposis 1 || Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome || Familial colorectal cancer,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || no assertion criteria provided || criteria provided, conflicting classifications || reviewed by expert panel"
ATM,hereditary_cancer,38880,19577,10810,1355,Ataxia-telangiectasia syndrome || Hereditary cancer-predisposing syndrome || Ataxia-telangiectasia syndrome|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Ataxia-telangiectasia syndrome || Familial cancer of breast,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
BRCA1,hereditary_cancer,31197,15849,14721,1561,"Breast-ovarian cancer, familial, susceptibility to, 1 || Hereditary breast ovarian cancer syndrome || Hereditary cancer-predisposing syndrome || Hereditary breast ovarian cancer syndrome|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Hereditary breast ovarian cancer syndrome","criteria provided, single submitter || reviewed by expert panel || criteria provided, conflicting classifications || criteria provided, multiple submitters, no conflicts || -"
BRCA2,hereditary_cancer,43042,21677,22958,2469,"Hereditary cancer-predisposing syndrome || Hereditary breast ovarian cancer syndrome || Hereditary breast ovarian cancer syndrome|Hereditary cancer-predisposing syndrome || Breast-ovarian cancer, familial, susceptibility to, 2 || Hereditary cancer-predisposing syndrome|Hereditary breast ovarian cancer syndrome","criteria provided, single submitter || criteria provided, conflicting classifications || reviewed by expert panel || criteria provided, multiple submitters, no conflicts || no assertion criteria provided"
CDH1,hereditary_cancer,10345,5206,2291,529,Hereditary diffuse gastric adenocarcinoma || Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Hereditary diffuse gastric adenocarcinoma || Hereditary diffuse gastric adenocarcinoma|Hereditary cancer-predisposing syndrome || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || reviewed by expert panel || -"
CHEK2,hereditary_cancer,9307,4707,2768,451,Familial cancer of breast || Hereditary cancer-predisposing syndrome || Familial cancer of breast|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Familial cancer of breast || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || -"
MLH1,hereditary_cancer,12701,6428,5065,951,"Hereditary cancer-predisposing syndrome || Hereditary nonpolyposis colorectal neoplasms || Colorectal cancer, hereditary nonpolyposis, type 2 || Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Hereditary nonpolyposis colorectal neoplasms","criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || reviewed by expert panel || criteria provided, conflicting classifications || no assertion criteria provided"
MSH2,hereditary_cancer,16579,8432,7392,1093,Hereditary cancer-predisposing syndrome || Hereditary nonpolyposis colorectal neoplasms || Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Hereditary nonpolyposis colorectal neoplasms || Lynch syndrome 1,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || reviewed by expert panel || no assertion criteria provided"
MSH6,hereditary_cancer,20890,10487,7048,1525,Hereditary cancer-predisposing syndrome || Hereditary nonpolyposis colorectal neoplasms || Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Hereditary nonpolyposis colorectal neoplasms || Lynch syndrome 5,"criteria provided, multiple submitters, no conflicts || criteria provided, single submitter || criteria provided, conflicting classifications || reviewed by expert panel || no assertion criteria provided"
PALB2,hereditary_cancer,13450,6778,4461,756,Familial cancer of breast || Hereditary cancer-predisposing syndrome || Familial cancer of breast|Hereditary cancer-predisposing syndrome || Hereditary cancer-predisposing syndrome|Familial cancer of breast || not provided,"criteria provided, single submitter || criteria provided, multiple submitters, no conflicts || criteria provided, conflicting classifications || no assertion criteria provided || reviewed by expert panel"
