endpoint,cab_mode,metric,estimate,ci95_low,ci95_high,bootstrap_replicates,stratification,endpoint_class_balance_note
cross_environment_drift,regime-only,true_portable_allowed_rate,0.234834113983679,0.2299212511935568,0.2393815822119814,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,regime-only,absolute_reduction_vs_ClinVar_pp,13.392344246959777,12.987745556594948,13.822450888681011,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,regime-only,relative_reduction_vs_ClinVar_percent,92.64444938279544,91.80237060403483,93.44428068186168,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,portability-score-only,unsupported_reuse_rate,0.0557521047708138,0.0529092609915809,0.0584471468662301,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,portability-score-only,overrestriction_rate,0.1931381852198316,0.1883236669784845,0.1976810102899906,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,portability-score-only,direct_use_allowed_rate,0.718070346117867,0.712887745556595,0.7238175865294668,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,portability-score-only,true_portable_allowed_rate,0.7742272052886808,0.7690284871984094,0.7798619874735634,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,portability-score-only,absolute_reduction_vs_ClinVar_pp,8.879146866230123,8.542376052385407,9.216089803554722,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,portability-score-only,relative_reduction_vs_ClinVar_percent,61.42954069238265,59.97837821376123,62.938225985605975,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,failure-topology-only,unsupported_reuse_rate,0.0106144808231992,0.0093919550982226,0.0118999064546304,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,failure-topology-only,overrestriction_rate,0.6546859494855005,0.6492422825070159,0.659912067352666,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,failure-topology-only,direct_use_allowed_rate,0.21143659494855,0.2071833489242282,0.2158662301216089,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,failure-topology-only,true_portable_allowed_rate,0.234740210778677,0.2298872459090155,0.2396086716046853,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,failure-topology-only,absolute_reduction_vs_ClinVar_pp,13.387745556594949,12.953882132834426,13.80355472404116,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,failure-topology-only,relative_reduction_vs_ClinVar_percent,92.65417607109175,91.80340729783168,93.439928221025,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Strict,unsupported_reuse_rate,0.0016816463985032,0.0011973807296538,0.0021702525724976,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Strict,overrestriction_rate,0.7762158278765201,0.7715958840037418,0.7810299345182413,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Strict,direct_use_allowed_rate,0.0808481197380729,0.0779045837231057,0.08377923292797,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Strict,true_portable_allowed_rate,0.0925511780298654,0.0891538060447438,0.0959337515343113,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Strict,absolute_reduction_vs_ClinVar_pp,14.293605238540692,13.867072029934516,14.724134705332084,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Strict,relative_reduction_vs_ClinVar_percent,98.83731573271932,98.50235484741914,99.16602054839448,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Balanced,unsupported_reuse_rate,0.0273458185219831,0.0254443405051449,0.0292254443405051,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Balanced,overrestriction_rate,0.6096935079513565,0.60389055191768,0.6153049579045837,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Balanced,direct_use_allowed_rate,0.2730876707202993,0.2679513564078578,0.2785790458372311,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Balanced,true_portable_allowed_rate,0.2872710650057867,0.2817037885161459,0.2933251926119734,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
cross_environment_drift,CAB-Balanced,absolute_reduction_vs_ClinVar_pp,11.721882132834423,11.337698783910197,12.086155285313378,1000,within_domain,large within-domain bootstrap; class balance approximately preserved
