endpoint,policy,workload_fraction,recall,precision,enrichment_over_random
cross_environment_drift,gene-only priority,0.3,0.6642505824488739,0.32002993265153407,2.21403053329336
cross_environment_drift,gene-only priority,0.31,0.6758995599275175,0.31514785757392877,2.1802553698325773
cross_environment_drift,gene-only priority,0.32,0.6834066787470877,0.3086997193638915,2.1356458710846495
cross_environment_drift,gene-only priority,0.33,0.6947967900595392,0.30430839002267573,2.10526578393891
cross_environment_drift,gene-only priority,0.34,0.7025627750453016,0.29866842742379224,2.0662474043232844
cross_environment_drift,gene-only priority,0.35000000000000003,0.7113642246958323,0.2937780628608082,2.032414892558918
cross_environment_drift,gene-only priority,0.36000000000000004,0.7186124773492104,0.28850550821035126,1.9959383139843743
cross_environment_drift,gene-only priority,0.37,0.7292259901630856,0.28486196784305795,1.9707315792404152
cross_environment_drift,gene-only priority,0.38,0.7385451721460006,0.2809176841276093,1.943444242379073
cross_environment_drift,gene-only priority,0.39,0.7447579601346104,0.27602417730020146,1.9095899918063381
cross_environment_drift,gene-only priority,0.4,0.7512296142894124,0.2714686623012161,1.878074035723531
cross_environment_drift,gene-only priority,0.41000000000000003,0.7602899301061351,0.268023361927359,1.854238764563466
cross_environment_drift,gene-only priority,0.42000000000000004,0.7672793165933213,0.26405345211581294,1.8267741412878853
cross_environment_drift,gene-only priority,0.43,0.7737509707481233,0.2600939784197703,1.79938171712875
cross_environment_drift,gene-only priority,0.44,0.7835878850634223,0.2574198486265839,1.7808815569623233
cross_environment_drift,gene-only priority,0.45,0.7900595392182241,0.25376236800532137,1.7555783807771717
cross_environment_drift,gene-only priority,0.46,0.7993787212011391,0.25117943712380025,1.7377091527656128
cross_environment_drift,gene-only priority,0.47000000000000003,0.8107688325135904,0.24934320515882494,1.7250057359227535
cross_environment_drift,gene-only priority,0.48000000000000004,0.8174993528345845,0.2461610413905994,1.7029908959781956
cross_environment_drift,gene-only priority,0.49,0.8273362671498835,0.24404398289554063,1.6883446655147099
cross_environment_drift,gene-only priority,0.5,0.8343256536370697,0.24118835590810447,1.6685888717691153
cross_environment_drift,gene-only priority,0.51,0.8418327724566399,0.23859134262655907,1.6506222189217685
cross_environment_drift,gene-only priority,0.52,0.8475278281128656,0.23559041519752463,1.629861207909357
cross_environment_drift,gene-only priority,0.53,0.8532228837690914,0.23268619837627957,1.6097692600585223
cross_environment_drift,gene-only priority,0.54,0.8609888687548537,0.23046008869179602,1.5943685918426738
cross_environment_drift,gene-only priority,0.55,0.868237121408232,0.22817878767263078,1.5785860990295257
cross_environment_drift,gene-only priority,0.56,0.8736733108982656,0.22549609140108237,1.560026674267131
cross_environment_drift,gene-only priority,0.5700000000000001,0.8793683665544914,0.22298805303925429,1.5426755675573574
cross_environment_drift,gene-only priority,0.5800000000000001,0.8860988868754853,0.22082446293787497,1.5277074222145246
cross_environment_drift,gene-only priority,0.59,0.8917939425317111,0.218480466768138,1.5114911919178071
cross_environment_drift,gene-only priority,0.6,0.894641470359824,0.21552853133769878,1.4910691172663733
cross_environment_drift,gene-only priority,0.61,0.9024074553455863,0.21382567625590382,1.4792884281488559
cross_environment_drift,gene-only priority,0.62,0.9047372508413151,0.21092335546167773,1.4592095973889043
cross_environment_drift,gene-only priority,0.63,0.9101734403313487,0.20882580032072223,1.444698294996454
cross_environment_drift,gene-only priority,0.64,0.9153507636551903,0.20673526660430308,1.4302355682112349
cross_environment_drift,gene-only priority,0.65,0.9192337561480715,0.20440939442781486,1.4141447232936455
cross_environment_drift,gene-only priority,0.66,0.9225990163085684,0.20205227053687852,1.3978376728185553
cross_environment_drift,gene-only priority,0.67,0.9246699456381051,0.19948620574109238,1.3800851277325121
cross_environment_drift,gene-only priority,0.68,0.9267408749676417,0.19699554283827655,1.362854227893591
cross_environment_drift,gene-only priority,0.6900000000000001,0.930882733626715,0.19500027113497098,1.3490505426047372
cross_environment_drift,gene-only priority,0.7000000000000001,0.9321770644576753,0.19248449861022024,1.331645929422246
cross_environment_drift,gene-only priority,0.7100000000000001,0.9337302614548278,0.19009222661396574,1.3150957173849949
cross_environment_drift,gene-only priority,0.72,0.9378721201139011,0.18828604095208398,1.3026001668248628
cross_environment_drift,gene-only priority,0.73,0.9420139787729743,0.18651973347001538,1.2903805014201815
cross_environment_drift,gene-only priority,0.74,0.9435671757701268,0.1843050007584568,1.2750585413589848
cross_environment_drift,gene-only priority,0.75,0.9477090344292001,0.18264817401716224,1.263596285428077
cross_environment_drift,gene-only priority,0.76,0.9528863577530416,0.18123184481315543,1.2537978391487392
cross_environment_drift,gene-only priority,0.77,0.9552161532487704,0.17930900432479713,1.2404952473673838
cross_environment_drift,gene-only priority,0.78,0.9570282164121149,0.17734817231123476,1.2269298226812708
cross_environment_drift,gene-only priority,0.79,0.9627232720683406,0.1761473973381329,1.2186226233139017
cross_environment_drift,gene-only priority,0.8,0.9642764690654931,0.17422825070159026,1.2053455863318665
cross_environment_drift,gene-only priority,0.81,0.9676417292259901,0.17267184035476718,1.194578030929628
cross_environment_drift,gene-only priority,0.8200000000000001,0.9720424540512556,0.17134382842801735,1.1853905810869179
cross_environment_drift,gene-only priority,0.8300000000000001,0.9761843127103288,0.1700027048958615,1.1761124225580892
cross_environment_drift,gene-only priority,0.8400000000000001,0.977219777375097,0.16815144766146994,1.1633050579220254
cross_environment_drift,gene-only priority,0.85,0.9782552420398654,0.16635119073821367,1.150850523551323
cross_environment_drift,gene-only priority,0.86,0.98006730520321,0.16472328576400974,1.1395883541400882
cross_environment_drift,gene-only priority,0.87,0.9813616360341704,0.16304675067739022,1.1279897519682252
cross_environment_drift,gene-only priority,0.88,0.9823971006989386,0.16136576239476147,1.1163603417033394
cross_environment_drift,gene-only priority,0.89,0.983691431529899,0.1597578407466577,1.1052364209045888
cross_environment_drift,gene-only priority,0.9,0.9852446285270515,0.15823390013719701,1.094693497583896
cross_environment_drift,gene-only priority,0.91,0.986538959358012,0.15670230263157894,1.084097602337289
cross_environment_drift,gene-only priority,0.92,0.9899042195185089,0.15552934477569447,1.075982847302727
cross_environment_drift,gene-only priority,0.93,0.9911985503494694,0.15405351036008852,1.0657727321701698
cross_environment_drift,gene-only priority,0.9400000000000001,0.9927517473466217,0.15265504338826527,1.0560978603550064
cross_environment_drift,gene-only priority,0.9500000000000001,0.9961170075071188,0.15156169994879673,1.0485338936400705
cross_environment_drift,gene-only priority,0.9600000000000001,0.9968936060056951,0.15009549050941265,1.038390366001567
cross_environment_drift,gene-only priority,0.97,0.9994822676676158,0.14893534948310447,1.030364280335482
cross_environment_drift,gene-only priority,0.98,1.0,0.14749341376808828,1.0203886831354283
cross_environment_drift,gene-only priority,0.99,1.0,0.14600498903923198,1.0100914657192532
cross_environment_drift,gene-only priority,1.0,1.0,0.14454630495790458,1.0
cross_environment_drift,metadata-only priority,0.01,0.006730520320994046,0.09701492537313433,0.6711684909647981
cross_environment_drift,metadata-only priority,0.02,0.014237639140564327,0.102803738317757,0.7112166467880031
cross_environment_drift,metadata-only priority,0.03,0.028475278281128655,0.1371571072319202,0.9488800649166627
cross_environment_drift,metadata-only priority,0.04,0.04271291742169298,0.15434985968194576,1.0678229355423248
cross_environment_drift,metadata-only priority,0.05,0.050478902407455346,0.14584891548242335,1.0090117179051938
cross_environment_drift,metadata-only priority,0.060000000000000005,0.06756406937613255,0.16271820448877805,1.1257168042874952
cross_environment_drift,metadata-only priority,0.06999999999999999,0.08439037017861765,0.1742383752004276,1.205415629622425
cross_environment_drift,metadata-only priority,0.08,0.09862800931918199,0.17820392890551917,1.2328501164897747
cross_environment_drift,metadata-only priority,0.09,0.11571317628785918,0.185785536159601,1.285301178841661
cross_environment_drift,metadata-only priority,0.09999999999999999,0.13771680041418585,0.19902731013842126,1.3769103969581435
cross_environment_drift,metadata-only priority,0.11,0.15635516438001554,0.2054421768707483,1.4212897170258216
cross_environment_drift,metadata-only priority,0.12,0.16438001553196996,0.19800436545057687,1.3698334627664166
cross_environment_drift,metadata-only priority,0.13,0.16748640952627492,0.18618705035971223,1.2880789336948768
cross_environment_drift,metadata-only priority,0.14,0.16800414185865908,0.1734366648850882,1.1998692386885794
cross_environment_drift,metadata-only priority,0.15000000000000002,0.17887652083872638,0.172362185083562,1.1924357743614276
cross_environment_drift,metadata-only priority,0.16,0.19492622314263525,0.17609915809167445,1.2182888946414703
cross_environment_drift,metadata-only priority,0.17,0.20968159461558375,0.17825704225352113,1.233217565163177
cross_environment_drift,metadata-only priority,0.18000000000000002,0.22521356458710848,0.1808355851174392,1.2510564359988514
cross_environment_drift,metadata-only priority,0.19,0.24825265337820346,0.1888538794801103,1.3065285863592928
cross_environment_drift,metadata-only priority,0.2,0.24980585037535594,0.18054256314312442,1.2490292518767798
cross_environment_drift,metadata-only priority,0.21000000000000002,0.25550090603158165,0.17584179583110637,1.216508411490116
cross_environment_drift,metadata-only priority,0.22,0.26016049702303906,0.17091836734693877,1.1824471569627075
cross_environment_drift,metadata-only priority,0.23,0.26533782034688064,0.16674800715796323,1.153595778228467
cross_environment_drift,metadata-only priority,0.24000000000000002,0.27853999482267666,0.1677318784099766,1.1604023946431854
cross_environment_drift,metadata-only priority,0.25,0.2912244369660885,0.16836276563903024,1.1647669975933428
cross_environment_drift,metadata-only priority,0.26,0.31115713176287857,0.1729745287091668,1.1966720889858873
cross_environment_drift,metadata-only priority,0.27,0.3235827077400984,0.1732261640798226,1.198412952377235
cross_environment_drift,metadata-only priority,0.28,0.32720683406678747,0.16889363976483165,1.1684396900634548
cross_environment_drift,metadata-only priority,0.29000000000000004,0.32772456639917164,0.16333376338536962,1.1299753627942022
cross_environment_drift,metadata-only priority,0.3,0.33730261454827853,0.16250935395360439,1.1242719348718813
cross_environment_drift,metadata-only priority,0.31,0.34869272586073,0.16258298129149065,1.1247813033950524
cross_environment_drift,metadata-only priority,0.32,0.35309345068599535,0.15949485500467728,1.1034170333937356
cross_environment_drift,metadata-only priority,0.33,0.3561998446803003,0.15600907029478459,1.0793016835692772
cross_environment_drift,metadata-only priority,0.34,0.3668133574941755,0.15593705293276108,1.0788034531783692
cross_environment_drift,metadata-only priority,0.35000000000000003,0.3779446026404349,0.15608295916185588,1.0798128614032096
cross_environment_drift,metadata-only priority,0.36000000000000004,0.3862283199585814,0.15506131781334442,1.072744943971429
cross_environment_drift,metadata-only priority,0.37,0.391405643282423,0.15289715845889373,1.0577728604229706
cross_environment_drift,metadata-only priority,0.38,0.39710069893864874,0.1510437179992123,1.0449503918014365
cross_environment_drift,metadata-only priority,0.39,0.39968936060056953,0.1481339345677828,1.0248199330375343
cross_environment_drift,metadata-only priority,0.4,0.39968936060056953,0.14443405051449953,0.9992234015014239
cross_environment_drift,metadata-only priority,0.41000000000000003,0.40745534558633184,0.14363935024639532,0.9937255074643839
