domain_group,endpoint,N,endpoint_rate,threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.68,0.25187713310580206,0.030887372013651878,0.8010238907849829,0.9467490438364224,0.19897610921501707,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.6900000000000001,0.27747440273037544,0.024744027303754267,0.8327645051194539,0.9573403942335981,0.16723549488054607,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.7000000000000001,0.27764505119453925,0.024744027303754267,0.8329351535836177,0.9573403942335981,0.16706484641638225,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.71,0.28703071672354946,0.022525597269624574,0.8445392491467577,0.9611650485436893,0.15546075085324232,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.72,0.2947098976109215,0.020819112627986348,0.8539249146757679,0.9641070903206825,0.14607508532423208,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.73,0.3061433447098976,0.016552901023890784,0.8696245733788396,0.9714621947631656,0.13037542662116042,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.74,0.30938566552901026,0.015699658703071672,0.8737201365187713,0.9729332156516622,0.12627986348122866,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.75,0.31552901023890784,0.012798634812286689,0.8827645051194539,0.9779346866725508,0.11723549488054608,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.76,0.3199658703071672,0.010750853242320819,0.8892491467576792,0.9814651368049426,0.11075085324232081,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.77,0.3199658703071672,0.010750853242320819,0.8892491467576792,0.9814651368049426,0.11075085324232081,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.78,0.32013651877133104,0.010750853242320819,0.889419795221843,0.9814651368049426,0.110580204778157,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.79,0.32389078498293516,0.010068259385665529,0.8938566552901024,0.9826419535157399,0.10614334470989761,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.8,0.32559726962457336,0.009897610921501706,0.8957337883959045,0.9829361576934392,0.10426621160409556,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.81,0.32764505119453924,0.008873720136518772,0.8988054607508532,0.9847013827596351,0.10119453924914676,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.8200000000000001,0.32798634812286687,0.00870307167235495,0.8993174061433447,0.9849955869373345,0.10068259385665529,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.8300000000000001,0.32849829351535836,0.008532423208191127,0.9,0.9852897911150338,0.1,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.84,0.33737201365187713,0.008532423208191127,0.9088737201365188,0.9852897911150338,0.09112627986348124,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.85,0.3583617747440273,0.007508532423208191,0.9308873720136519,0.9870550161812298,0.06911262798634812,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.86,0.3656996587030717,0.006996587030716724,0.9387372013651877,0.9879376287143278,0.061262798634812286,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.87,0.36638225255972695,0.006996587030716724,0.939419795221843,0.9879376287143278,0.060580204778156996,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.88,0.3774744027303754,0.0066552901023890785,0.9508532423208191,0.9885260370697264,0.049146757679180884,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.89,0.3878839590443686,0.006313993174061433,0.96160409556314,0.989114445425125,0.03839590443686007,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.9,0.3878839590443686,0.006313993174061433,0.96160409556314,0.989114445425125,0.03839590443686007,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.91,0.40273037542662116,0.003583617747440273,0.9791808873720137,0.9938217122683142,0.020819112627986348,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.92,0.4090443686006826,0.0017064846416382253,0.9873720136518771,0.9970579582230068,0.012627986348122866,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.93,0.4150170648464164,0.00034129692832764505,0.9947098976109215,0.9994115916446014,0.005290102389078498,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.9400000000000001,0.4175767918088737,0.00017064846416382253,0.9974402730375427,0.9997057958223007,0.002559726962457338,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.9500000000000001,0.4189419795221843,0.00017064846416382253,0.9988054607508532,0.9997057958223007,0.0011945392491467576,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.96,0.41996587030716725,0.0,1.0,1.0,0.0,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.97,0.41996587030716725,0.0,1.0,1.0,0.0,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.98,0.41996587030716725,0.0,1.0,1.0,0.0,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,0.99,0.41996587030716725,0.0,1.0,1.0,0.0,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,allowed-risk threshold,1.0,0.41996587030716725,0.0,1.0,1.0,0.0,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,CAB-Strict actual mode,,0.08703071672354949,0.4552901023890785,0.21177474402730376,0.21506325389820535,0.7882252559726962,frontier
cardiomyopathy_plus_inherited_arrhythmia,conservative_composite_non_portability,5860,0.41996587030716725,CAB-Balanced actual mode,,0.05648464163822525,0.4656996587030717,0.17081911262798635,0.19711679905854662,0.8291808873720137,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.0,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.01,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.02,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.03,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.04,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.05,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.06,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.07,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.08,0.0,0.6134607564050427,0.0,0.0,1.0,frontier
