gold_standard,domain,system,N,true_direct_use_allowed,false_direct_use_unsupported_deterministic_reuse,true_restriction,false_restriction_overrestriction,unsupported_deterministic_reuse_rate,overrestriction_rate,direct_use_allowed_rate,sensitivity_recall_nonportability_detection,specificity_allowing_portable_assertions,precision_PPV_direct_use_decisions,NPV_restriction_decisions,F1_nonportability_detection,repair_recall,cross_environment_drift_capture,condition_drift_capture
any_meaning_gold,cardiomyopathy,ClinVar_label_only_baseline,4918,2933,1985,0,0,0.4036193574623831,0.0,1.0,0.0,1.0,0.5963806425376169,,,0.0,0.0,0.0
any_meaning_gold,cardiomyopathy,CAB,4918,399,205,1780,2534,0.04168361122407483,0.5152501016673444,0.12281415209434729,0.8967254408060453,0.1360381861575179,0.6605960264900662,0.41261010662957814,0.565169074456263,0.8967254408060453,0.9484536082474226,0.8984744871120462
any_meaning_gold,hereditary_cancer,ClinVar_label_only_baseline,20865,12895,7970,0,0,0.3819793913251857,0.0,1.0,0.0,1.0,0.6180206086748142,,,0.0,0.0,0.0
any_meaning_gold,hereditary_cancer,CAB,20865,4221,2077,5893,8674,0.09954469206805655,0.4157201054397316,0.30184519530313925,0.7393977415307402,0.3273361768127181,0.6702127659574468,0.4045445184320725,0.5229622398722102,0.8430363864491844,0.7880402605091771,0.7658510918179426
any_meaning_gold,inherited_arrhythmia,ClinVar_label_only_baseline,942,577,365,0,0,0.3874734607218684,0.0,1.0,0.0,1.0,0.6125265392781316,,,0.0,0.0,0.0
any_meaning_gold,inherited_arrhythmia,CAB,942,377,20,345,200,0.021231422505307854,0.21231422505307856,0.42144373673036095,0.9452054794520548,0.6533795493934142,0.9496221662468514,0.6330275229357798,0.7582417582417583,0.9452054794520548,0.0,0.9452054794520548
composite_routing_gold,all,ClinVar_label_only_baseline,26725,3825,22900,0,0,0.8568755846585594,0.0,1.0,0.0,1.0,0.1431244153414406,,,0.0,0.0,0.0
composite_routing_gold,all,CAB,26725,3825,3474,19426,0,0.1299906454630496,0.0,0.27311506080449016,0.848296943231441,1.0,0.5240443896424167,1.0,0.9179227897746066,0.9440174672489083,0.8081801708516697,0.7980340494527767
composite_routing_gold,cardiomyopathy,ClinVar_label_only_baseline,4918,411,4507,0,0,0.9164294428629525,0.0,1.0,0.0,1.0,0.08357055713704759,,,0.0,0.0,0.0
composite_routing_gold,cardiomyopathy,CAB,4918,411,193,4314,0,0.03924359495729972,0.0,0.12281415209434729,0.9571777235411582,1.0,0.6804635761589404,1.0,0.9781203945130936,0.9571777235411582,0.9484536082474226,0.8984744871120462
composite_routing_gold,hereditary_cancer,ClinVar_label_only_baseline,20865,3037,17828,0,0,0.8544452432302899,0.0,1.0,0.0,1.0,0.14555475676971005,,,0.0,0.0,0.0
composite_routing_gold,hereditary_cancer,CAB,20865,3037,3261,14567,0,0.1562904385334292,0.0,0.30184519530313925,0.8170854835090868,1.0,0.48221657669101303,1.0,0.8993363173329217,0.940038142248149,0.7880402605091771,0.7658510918179426
composite_routing_gold,inherited_arrhythmia,ClinVar_label_only_baseline,942,377,565,0,0,0.5997876857749469,0.0,1.0,0.0,1.0,0.4002123142250531,,,0.0,0.0,0.0
composite_routing_gold,inherited_arrhythmia,CAB,942,377,20,545,0,0.021231422505307854,0.0,0.42144373673036095,0.9646017699115044,1.0,0.9496221662468514,1.0,0.9819819819819819,0.9646017699115044,0.0,0.9452054794520548
