endpoint,policy,budget,reviewed_N,positives_captured,precision_at_budget,recall_at_budget,enrichment_over_random,number_needed_to_review,workload_to_capture_25pct_future_drift,workload_to_capture_50pct_future_drift,workload_to_capture_75pct_future_drift,unsupported_reuse_avoided_per_100_reviewed,direct_use_preserved_per_100_assertions
conservative_composite_non_portability,gene+regime priority,0.1,2673,2317,0.8668163112607558,0.23024942859982112,2.3020635912196856,1.153646957272335,0.11023386342376053,0.27550982226379794,0.5275584658559401,49.02774899324115,25.53040224508887
conservative_composite_non_portability,gene+regime priority,0.2,5345,4008,0.7498596819457437,0.3982907681605883,1.9914538408029414,1.3335828343313374,0.11023386342376053,0.27550982226379794,0.5275584658559401,37.33208606173994,22.555659494855004
conservative_composite_non_portability,gene+regime priority,0.3,8018,5302,0.6612621601396858,0.5268806518930736,1.7561593192619598,1.5122595247076573,0.11023386342376053,0.27550982226379794,0.5275584658559401,28.472333881134148,21.695042095416277
conservative_composite_non_portability,CAB-Balanced review queue,0.01,268,265,0.9888059701492538,0.026334095200238498,2.6260399038297533,1.0113207547169811,0.22997193638914873,0.4800748362956034,0.700243217960711,61.226714882090945,27.311506080449018
conservative_composite_non_portability,CAB-Balanced review queue,0.05,1337,601,0.4495138369483919,0.059723740435257876,1.1938047592612315,2.2246256239600664,0.22997193638914873,0.4800748362956034,0.700243217960711,7.297501562004766,27.311506080449018
conservative_composite_non_portability,CAB-Balanced review queue,0.1,2673,1040,0.3890759446315002,0.10334890191791712,1.033295699123208,2.5701923076923077,0.22997193638914873,0.4800748362956034,0.700243217960711,1.2537123303155928,27.311506080449018
conservative_composite_non_portability,CAB-Balanced review queue,0.2,5345,2156,0.40336763330215153,0.21425022359137433,1.0712511179568716,2.4791280148423005,0.22997193638914873,0.4800748362956034,0.700243217960711,2.6828811973807265,27.311506080449018
conservative_composite_non_portability,CAB-Balanced review queue,0.3,8018,3327,0.4149413818907458,0.33061711219318296,1.1019883167077593,2.4099789600240458,0.22997193638914873,0.4800748362956034,0.700243217960711,3.8402560562401544,27.311506080449018
conservative_composite_non_portability,CAB-Strict review queue,0.01,268,238,0.8880597014925373,0.023650998708138728,2.3584811211754007,1.1260504201680672,0.2372310570626754,0.5179420018709074,0.7205612722170253,51.152088016419306,27.311506080449018
conservative_composite_non_portability,CAB-Strict review queue,0.05,1337,565,0.4225878833208676,0.056146278445791516,1.1222956555450847,2.366371681415929,0.2372310570626754,0.5179420018709074,0.7205612722170253,4.604906199252334,27.311506080449018
