threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
direct-use threshold,0.5700000000000001,0.3218334892422825,0.02394761459307764,0.9213470533208606,0.9615892449885968,0.07865294667913938,frontier
direct-use threshold,0.58,0.3241159962581852,0.02267539756782039,0.9249017773620206,0.9636298163485776,0.07509822263797943,frontier
direct-use threshold,0.59,0.3254630495790458,0.02226379794200187,0.9266604303086997,0.9642900012003361,0.07333956969130027,frontier
direct-use threshold,0.6,0.3276707202993452,0.02106641721234799,0.930065481758653,0.9662105389509063,0.06993451824134705,frontier
direct-use threshold,0.61,0.3286061739943873,0.020355472404115997,0.9317118802619271,0.9673508582403073,0.06828811973807297,frontier
direct-use threshold,0.62,0.3296913002806361,0.019345182413470535,0.9338072965388213,0.9689713119673509,0.06619270346117867,frontier
direct-use threshold,0.63,0.3326473339569691,0.017960710944808233,0.9381478016838166,0.9711919337414476,0.06185219831618335,frontier
direct-use threshold,0.64,0.3359027128157156,0.016314312441534144,0.9430495790458372,0.9738326731484815,0.05695042095416277,frontier
direct-use threshold,0.65,0.34488306828811977,0.014368568755846585,0.9539756782039289,0.9769535469931581,0.0460243217960711,frontier
direct-use threshold,0.66,0.3474649204864359,0.011487371375116932,0.9594387277829748,0.9815748409554675,0.040561272217025254,frontier
direct-use threshold,0.67,0.3491487371375117,0.01047708138447147,0.962132834424696,0.9831952946825111,0.03786716557530402,frontier
direct-use threshold,0.68,0.353376987839102,0.0037792329279700654,0.9730589335827876,0.9939383027247629,0.026941066417212348,frontier
direct-use threshold,0.6900000000000001,0.35543498596819456,0.0019457436856875584,0.9769504209541627,0.9968791261553235,0.02304957904583723,frontier
direct-use threshold,0.7000000000000001,0.357043966323667,0.0017586529466791395,0.9787464920486436,0.99717921017885,0.021253507951356408,frontier
direct-use threshold,0.71,0.3673713751169317,0.0013844714686623012,0.9894480823199252,0.9977793782259032,0.010551917680074836,frontier
direct-use threshold,0.72,0.3678578110383536,0.0011599625818521982,0.9901590271281572,0.9981394790541351,0.009840972871842844,frontier
direct-use threshold,0.73,0.36853133769878393,0.001010289990645463,0.9909822263797942,0.9983795462729564,0.0090177736202058,frontier
direct-use threshold,0.74,0.3692797006548176,7.483629560336763e-05,0.99266604303087,0.9998799663905894,0.007333956969130028,frontier
direct-use threshold,0.75,0.3695416276894294,3.7418147801683815e-05,0.9929653882132834,0.9999399831952946,0.007034611786716558,frontier
direct-use threshold,0.76,0.37025257249766136,0.0,0.9937137511693171,1.0,0.006286248830682881,frontier
direct-use threshold,0.77,0.37103835360149673,0.0,0.9944995322731525,1.0,0.005500467726847521,frontier
direct-use threshold,0.78,0.37118802619270347,0.0,0.9946492048643593,1.0,0.005350795135640786,frontier
direct-use threshold,0.79,0.3713376987839102,0.0,0.9947988774555659,1.0,0.005201122544434051,frontier
direct-use threshold,0.8,0.3715247895229186,0.0,0.9949859681945744,1.0,0.005014031805425631,frontier
direct-use threshold,0.81,0.37186155285313377,0.0,0.9953227315247896,1.0,0.004677268475210477,frontier
direct-use threshold,0.8200000000000001,0.3720112254443405,0.0,0.9954724041159962,1.0,0.0045275958840037414,frontier
direct-use threshold,0.8300000000000001,0.3750046772684752,0.0,0.9984658559401309,1.0,0.0015341440598690365,frontier
direct-use threshold,0.84,0.3750795135640786,0.0,0.9985406922357344,1.0,0.001459307764265669,frontier
direct-use threshold,0.85,0.3754536950420954,0.0,0.9989148737137512,1.0,0.0010851262862488307,frontier
direct-use threshold,0.86,0.3756782039289055,0.0,0.9991393826005612,1.0,0.0008606173994387278,frontier
direct-use threshold,0.87,0.3763891487371375,0.0,0.9998503274087933,1.0,0.00014967259120673526,frontier
direct-use threshold,0.88,0.37650140318054254,0.0,0.9999625818521983,1.0,3.7418147801683815e-05,frontier
direct-use threshold,0.89,0.37650140318054254,0.0,0.9999625818521983,1.0,3.7418147801683815e-05,frontier
