endpoint,model,N,positive_N,positive_rate,AUROC,AUPRC,Brier,precision_at_top10,recall_at_top10,lift_at_top10,number_needed_to_review_top10
E2_normalized_condition_label_drift,condition specificity only,26725,5789,0.2166136576239476,0.7250111684546865,0.393713445673445,0.15418256650749584,0.5046763935652825,0.23302815684919675,2.32984567594268,1.9814677538917715
E2_normalized_condition_label_drift,ontology-only combined,26725,5789,0.2166136576239476,0.9875147427562305,0.9616131902816262,0.035729509440663665,0.9996258885147774,0.46156503713940233,4.614786987486168,1.000374251497006
E2_normalized_condition_label_drift,CAB regime only,26725,5789,0.2166136576239476,0.6103589446945649,0.287401899786103,0.16379741294967,0.3269734380845492,0.15097598894455,1.5094774801882151,3.0583524027459954
E2_normalized_condition_label_drift,gene + ontology,26725,5789,0.2166136576239476,0.9929063027048585,0.9784118944214538,0.0261957262214297,0.9988776655443322,0.4612195543271722,4.611332805609307,1.001123595505618
E2_normalized_condition_label_drift,gene + ontology + CAB,26725,5789,0.2166136576239476,0.9929186295896854,0.9793900468002245,0.02488515857117349,0.9996258885147774,0.46156503713940233,4.614786987486168,1.000374251497006
E3_cross_environment_drift,string similarity only,26725,4009,0.1500093545369504,0.733611946856147,0.22340992041891064,0.12659120686584607,0.09839132061354283,0.06560239461212272,0.6559012330748147,10.163498098859316
E3_cross_environment_drift,MONDO graph distance only,26725,4009,0.1500093545369504,0.9987668615486611,0.9989412841520828,0.00020463244750486167,1.0,0.6667498129209279,6.666250935395361,1.0
E3_cross_environment_drift,HPO overlap only,26725,4009,0.1500093545369504,0.4987294336554164,0.1495936951816497,0.1275210044795999,0.1309390198279087,0.08730356697430781,0.8728723634075481,7.637142857142858
E3_cross_environment_drift,condition specificity only,26725,4009,0.1500093545369504,0.665854892612418,0.2096510980709292,0.12521969549720952,0.22147399925177702,0.14766774756797207,1.47640125467791,4.515202702702703
E3_cross_environment_drift,ontology-only combined,26725,4009,0.1500093545369504,0.9987633806502723,0.9989411825466231,0.0003362540275551425,1.0,0.6667498129209279,6.666250935395361,1.0
E3_cross_environment_drift,CAB regime only,26725,4009,0.1500093545369504,0.5710764642031217,0.1771277248598819,0.12594904083966407,0.1937897493453049,0.12920927912197555,1.2918510978431714,5.16023166023166
E3_cross_environment_drift,gene + ontology,26725,4009,0.1500093545369504,0.9987571326023754,0.9989403710086776,0.0003530396806520409,1.0,0.6667498129209279,6.666250935395361,1.0
E3_cross_environment_drift,gene + ontology + CAB,26725,4009,0.1500093545369504,0.9987568031798151,0.998940024645994,0.0003526707695192532,1.0,0.6667498129209279,6.666250935395361,1.0
E4_proxy_adjudicated_true_shift,string similarity only,26725,4003,0.14978484565014033,0.7336581447375431,0.2231557550420799,0.12643083988626108,0.09801720912832024,0.0654509118161379,0.6543866884722354,10.202290076335878
E4_proxy_adjudicated_true_shift,MONDO graph distance only,26725,4003,0.14978484565014033,0.9999603930095294,0.9994301377495134,4.5299774408828955e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
E4_proxy_adjudicated_true_shift,HPO overlap only,26725,4003,0.14978484565014033,0.4993195843369212,0.14957734770568087,0.12735897428782,0.12345679012345678,0.0824381713714714,0.8242275083810597,8.1
E4_proxy_adjudicated_true_shift,condition specificity only,26725,4003,0.14978484565014033,0.6651884051489154,0.20890371790878054,0.12507773765282063,0.22035166479610924,0.14713964526605047,1.4711212195043764,4.538200339558574
E4_proxy_adjudicated_true_shift,ontology-only combined,26725,4003,0.14978484565014033,0.9999742623276359,0.9997809790649044,5.7629431503242534e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
E4_proxy_adjudicated_true_shift,CAB regime only,26725,4003,0.14978484565014033,0.5712270402866365,0.1766309772391651,0.12580296808660246,0.19229330340441453,0.1284036972270797,1.2837967857814083,5.200389105058365
E4_proxy_adjudicated_true_shift,gene + ontology,26725,4003,0.14978484565014033,0.9999683473905442,0.9996835007047122,5.6384213112903004e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
E4_proxy_adjudicated_true_shift,gene + ontology + CAB,26725,4003,0.14978484565014033,0.9999655108593737,0.9996186797404205,5.395361523141579e-05,0.9996258885147774,0.6674993754683987,6.673745158770278,1.000374251497006
