gold_standard,domain,operating_mode,features,purpose,N,unsupported_deterministic_reuse_rate,absolute_reduction_vs_ClinVar_baseline,relative_reduction_vs_ClinVar_baseline,direct_use_allowed_rate,true_portable_assertions_N,true_portable_allowed_direct_use_N,true_portable_allowed_direct_use_rate,false_restriction_N,false_restriction_rate,overrestriction_rate,nonportability_recall,direct_use_precision,direct_use_recall,specificity,F1_nonportability_detection
cross_environment_drift,cardiomyopathy,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,4918,0.004066693777958519,0.0945506303375356,0.9587628865979382,0.12281415209434729,4433,584,0.13173922851342207,3849,0.868260771486578,0.7826352175681172,0.9587628865979382,0.9668874172185431,0.13173922851342207,0.13173922851342207,0.19379037299437385
cross_environment_drift,cardiomyopathy,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,4918,0.004066693777958519,0.0945506303375356,0.9587628865979382,0.12281415209434729,4433,584,0.13173922851342207,3849,0.868260771486578,0.7826352175681172,0.9587628865979382,0.9668874172185431,0.13173922851342207,0.13173922851342207,0.19379037299437385
cross_environment_drift,hereditary_cancer,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,20865,0.1618979151689432,0.0,0.0,1.0,17487,17487,1.0,0,0.0,0.0,0.0,0.8381020848310567,1.0,1.0,
cross_environment_drift,hereditary_cancer,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,20865,0.0011981787682722263,0.16069973640067098,0.992599171107164,0.044140905823148814,17487,896,0.05123806256075942,16591,0.9487619374392405,0.7951593577761802,0.992599171107164,0.9728555917480999,0.05123806256075942,0.05123806256075942,0.287539662121602
cross_environment_drift,hereditary_cancer,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,20865,0.03402827701893123,0.12786963815001195,0.7898164594434576,0.30184519530313925,17487,5588,0.31955166695259335,11899,0.6804483330474066,0.5702851665468488,0.7898164594434577,0.8872657986662432,0.31955166695259335,0.31955166695259335,0.297353023126219
cross_environment_drift,inherited_arrhythmia,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,942,0.0,0.0,,1.0,942,942,1.0,0,0.0,0.0,,1.0,1.0,1.0,
cross_environment_drift,inherited_arrhythmia,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,942,0.0,0.0,,0.6762208067940552,942,637,0.6762208067940552,305,0.3237791932059448,0.3237791932059448,,1.0,0.6762208067940552,0.6762208067940552,
cross_environment_drift,inherited_arrhythmia,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,942,0.0,0.0,,0.42144373673036095,942,397,0.42144373673036095,545,0.578556263269639,0.578556263269639,,1.0,0.42144373673036095,0.42144373673036095,
any_meaning_drift,cardiomyopathy,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,4918,0.4036193574623831,0.0,0.0,1.0,2933,2933,1.0,0,0.0,0.0,0.0,0.5963806425376169,1.0,1.0,
any_meaning_drift,cardiomyopathy,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,4918,0.04168361122407483,0.36193574623830826,0.8967254408060453,0.12281415209434729,2933,399,0.1360381861575179,2534,0.863961813842482,0.5152501016673444,0.8967254408060453,0.6605960264900662,0.1360381861575179,0.1360381861575179,0.565169074456263
any_meaning_drift,cardiomyopathy,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,4918,0.04168361122407483,0.36193574623830826,0.8967254408060453,0.12281415209434729,2933,399,0.1360381861575179,2534,0.863961813842482,0.5152501016673444,0.8967254408060453,0.6605960264900662,0.1360381861575179,0.1360381861575179,0.565169074456263
any_meaning_drift,hereditary_cancer,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,20865,0.3819793913251857,0.0,0.0,1.0,12895,12895,1.0,0,0.0,0.0,0.0,0.6180206086748142,1.0,1.0,
any_meaning_drift,hereditary_cancer,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,20865,0.015240833932422718,0.366738557392763,0.9601003764115433,0.044140905823148814,12895,603,0.046762310973245444,12292,0.9532376890267545,0.5891205367840882,0.9601003764115433,0.6547231270358306,0.046762310973245444,0.046762310973245444,0.5482553557354731
any_meaning_drift,hereditary_cancer,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,20865,0.09954469206805655,0.28243469925712916,0.7393977415307402,0.30184519530313925,12895,4221,0.3273361768127181,8674,0.6726638231872819,0.4157201054397316,0.7393977415307402,0.6702127659574468,0.3273361768127181,0.3273361768127181,0.5229622398722102
any_meaning_drift,inherited_arrhythmia,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,942,0.3874734607218684,0.0,0.0,1.0,577,577,1.0,0,0.0,0.0,0.0,0.6125265392781316,1.0,1.0,
any_meaning_drift,inherited_arrhythmia,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,942,0.1740976645435244,0.21337579617834398,0.5506849315068494,0.6762208067940552,577,473,0.8197573656845754,104,0.18024263431542462,0.11040339702760085,0.5506849315068493,0.7425431711145997,0.8197573656845754,0.8197573656845754,0.6000000000000001
any_meaning_drift,inherited_arrhythmia,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,942,0.021231422505307854,0.36624203821656054,0.9452054794520548,0.42144373673036095,577,377,0.6533795493934142,200,0.3466204506065858,0.21231422505307856,0.9452054794520548,0.9496221662468514,0.6533795493934142,0.6533795493934142,0.7582417582417583
conservative_composite_routing,cardiomyopathy,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,4918,0.9164294428629525,0.0,0.0,1.0,411,411,1.0,0,0.0,0.0,0.0,0.08357055713704759,1.0,1.0,
conservative_composite_routing,cardiomyopathy,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.12281415209434729,411,411,1.0,0,0.0,0.0,0.9571777235411582,0.6804635761589404,1.0,1.0,0.9781203945130936
conservative_composite_routing,cardiomyopathy,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,4918,0.03924359495729972,0.8771858479056528,0.9571777235411583,0.12281415209434729,411,411,1.0,0,0.0,0.0,0.9571777235411582,0.6804635761589404,1.0,1.0,0.9781203945130936
conservative_composite_routing,hereditary_cancer,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,20865,0.8544452432302899,0.0,0.0,1.0,3037,3037,1.0,0,0.0,0.0,0.0,0.14555475676971005,1.0,1.0,
conservative_composite_routing,hereditary_cancer,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,20865,0.013850946561226936,0.8405942966690629,0.9837895445366838,0.044140905823148814,3037,632,0.20810009878169247,2405,0.7918999012183076,0.11526479750778816,0.9837895445366839,0.6862106406080347,0.20810009878169247,0.20810009878169247,0.9286773271206186
conservative_composite_routing,hereditary_cancer,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,20865,0.1562904385334292,0.6981548046968608,0.8170854835090868,0.30184519530313925,3037,3037,1.0,0,0.0,0.0,0.8170854835090868,0.48221657669101303,1.0,1.0,0.8993363173329217
conservative_composite_routing,inherited_arrhythmia,ClinVar-label-only baseline,ClinVar P/LP label only,counterfactual label-only direct reuse,942,0.5997876857749469,0.0,0.0,1.0,377,377,1.0,0,0.0,0.0,0.0,0.4002123142250531,1.0,1.0,
conservative_composite_routing,inherited_arrhythmia,CAB-Core,gene + baseline disease-model regime,temporal portability prediction and minimal routing,942,0.2908704883227176,0.3089171974522293,0.5150442477876106,0.6762208067940552,377,363,0.9628647214854111,14,0.03713527851458886,0.014861995753715499,0.5150442477876106,0.5698587127158555,0.9628647214854111,0.9628647214854111,0.6689655172413793
conservative_composite_routing,inherited_arrhythmia,CAB-Conservative,full CAB routing flags + portability score + failure topology + repair/review flags,safety-first triage and contextual repair,942,0.021231422505307854,0.578556263269639,0.9646017699115045,0.42144373673036095,377,377,1.0,0,0.0,0.0,0.9646017699115044,0.9496221662468514,1.0,1.0,0.9819819819819819
